Species,circRNA name,circAltas ID,Postion,Strand,Host gene,Disease Name,Expression Pattern,PMID,miRNA
human,circRNASMURF2,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr17:64598381|64606640,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=SMURF2"" target=""_blank"">SMURF2</a>",PDLSC osteogenis,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29197342"" target=""_blank"">29197342</a>",N/A
human,circRNA.1030,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr16:20744988|20749278,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=THUMPD1"" target=""_blank"">THUMPD1</a>",Gestational diabetes mellitus,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29526755"" target=""_blank"">29526755</a>",miR-221
human,circRNA.20159,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr10:120882980|120889134,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Gestational diabetes mellitus,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29526755"" target=""_blank"">29526755</a>",N/A
human,circRNA.22054,"<a href=""./circ_detail.php?ID=hsa-FNBP4_000019"">hsa-FNBP4_000019</a>",chr11:47772468|47776216,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=FNBP4"" target=""_blank"">FNBP4</a>",Gestational diabetes mellitus,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29526755"" target=""_blank"">29526755</a>",N/A
human,circRNA.33299,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr14:102476179|102505591,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Gestational diabetes mellitus,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29526755"" target=""_blank"">29526755</a>",N/A
human,circRNA.37134,"<a href=""./circ_detail.php?ID=hsa-NPRL3_000002"">hsa-NPRL3_000002</a>",chr16:162621|180590,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=NPRL3"" target=""_blank"">NPRL3</a>",Gestational diabetes mellitus,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29526755"" target=""_blank"">29526755</a>",N/A
human,circRNA.5333,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr7:137686349|137686847,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=CREB3L2"" target=""_blank"">CREB3L2</a>",Gestational diabetes mellitus,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29526755"" target=""_blank"">29526755</a>",N/A
human,circRNA_0001073/hsa_circ_0001073,"<a href=""./circ_detail.php?ID=hsa-ACVR2A_000030"">hsa-ACVR2A_000030</a>",chr2:148653870|148657467,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVR2A"" target=""_blank"">ACVR2A</a>",Acne,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29573483"" target=""_blank"">29573483</a>",N/A
human,circRNA_000167/hsa_circ_0000518/hsa_circRNA_001678,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr14:20811404|20811554,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=RPPH1"" target=""_blank"">RPPH1</a>",Esophageal cancer,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=27465405"" target=""_blank"">27465405</a>",N/A
human,circRNA_0005941/hsa_circ_0005941,"<a href=""./circ_detail.php?ID=hsa-FTO_000001"">hsa-FTO_000001</a>",chr16:53907698|53922863,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=FTO"" target=""_blank"">FTO</a>",Acne,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29573483"" target=""_blank"">29573483</a>",N/A
human,circRNA_000695/hsa_circ_0001336,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr3:128102470|128102926,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=EEFSEC"" target=""_blank"">EEFSEC</a>",radioresistant esophageal cancer cells,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=27465405"" target=""_blank"">27465405</a>",N/A
human,circRNA_00074/hsa_circ_0000074,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr1:59248878|59248985,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Pulmonary tuberculosis,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29371930"" target=""_blank"">29371930</a>",N/A
human,circRNA_000839/hsa_circ_0000839,"<a href=""./circ_detail.php?ID=hsa-TTC39C_000033"">hsa-TTC39C_000033</a>",chr18:21644104|21649235,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC39C"" target=""_blank"">TTC39C</a>",Hepatocellular carcinoma,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28695771"" target=""_blank"">28695771</a>",N/A
human,circRNA_000911/hsa_circ_000911,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr21:34797903|34797990,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNGR2"" target=""_blank"">IFNGR2</a>",Breast cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29431182"" target=""_blank"">29431182</a>",N/A
human,circRNA_001653/hsa_circ_0001653,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr6:152456984|152457139,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Gastric cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28206972"" target=""_blank"">28206972</a>",N/A
human,circRNA_0018168/hsa_circ_0018168,"<a href=""./circ_detail.php?ID=hsa-PARD3_000102"">hsa-PARD3_000102</a>",chr10:34558585|34573173,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=PARD3"" target=""_blank"">PARD3</a>",Acne,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29573483"" target=""_blank"">29573483</a>",N/A
human,circRNA_003524/hsa_circRNA_003524,"<a href=""./circ_detail.php?ID=hsa-FAM168B_000001"">hsa-FAM168B_000001</a>",chr2:131829428|131840230,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM168B"" target=""_blank"">FAM168B</a>",Rheumatoid arthritis,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28618429"" target=""_blank"">28618429</a>","miR-627-3p,miR-143-5p,miR-656-3p,miR-376a-5p,miR-222-5p"
human,circRNA_0046366,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr17:80048757|80048945,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=FASN"" target=""_blank"">FASN</a>",Hepatic steatosis,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29391755"" target=""_blank"">29391755</a>",N/A
human,circRNA_0084043,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr8:8883321|38959449,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Malignant melanoma,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29777697"" target=""_blank"">29777697</a>",N/A
human,circRNA_0084927/hsa_circ_0084927,"<a href=""./circ_detail.php?ID=hsa-ESRP1_000001"">hsa-ESRP1_000001</a>",chr8:95676925|95677424,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=ESRP1"" target=""_blank"">ESRP1</a>",Acne,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29573483"" target=""_blank"">29573483</a>",N/A
human,circRNA_0086376/hsa_circ_0086376,"<a href=""./circ_detail.php?ID=hsa-NFIB_000047"">hsa-NFIB_000047</a>",chr9:14146688|14179779,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=NFIB"" target=""_blank"">NFIB</a>",Acne,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29573483"" target=""_blank"">29573483</a>",N/A
human,circRNA_05538/hsa_circ_0005538,"<a href=""./circ_detail.php?ID=hsa-NUP205_000004"">hsa-NUP205_000004</a>",chr7:135320329|135323431,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP205"" target=""_blank"">NUP205</a>",Pulmonary tuberculosis,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29371930"" target=""_blank"">29371930</a>","miR-141,TGF-beta1"
human,circRNA_092516,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=XBP1"" target=""_blank"">XBP1</a>",Rheumatoid arthritis,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28618429"" target=""_blank"">28618429</a>",N/A
human,circRNA_09585,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Pulmonary tuberculosis,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29371930"" target=""_blank"">29371930</a>",N/A
human,circRNA_09993,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Pulmonary tuberculosis,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29371930"" target=""_blank"">29371930</a>",N/A
human,circRNA_10008,"<a href=""./circ_detail.php?ID=hsa-VPS13D_000040"">hsa-VPS13D_000040</a>",chr1:12422775|12464026,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS13D"" target=""_blank"">VPS13D</a>",Breast cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26472973"" target=""_blank"">26472973</a>",N/A
human,circRNA_100284,"<a href=""./circ_detail.php?ID=hsa-GCLM_000001"">hsa-GCLM_000001</a>",chr1:94360170|94367225,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=GCLM"" target=""_blank"">GCLM</a>",Liver cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28062277"" target=""_blank"">28062277</a>",N/A
human,circRNA_100290/hsa_circ_0013339/hsa_circ_100290,"<a href=""./circ_detail.php?ID=hsa-SLC30A7_000007"">hsa-SLC30A7_000007</a>",chr1:101372408|101379362,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A7"" target=""_blank"">SLC30A7</a>",Oral squamous cell carcinoma,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28368401"" target=""_blank"">28368401</a>",N/A
human,circRNA_100367/hsa_circ_0014879/hsa_circRNA_100367/,"<a href=""./circ_detail.php?ID=hsa-DCAF8_000106"">hsa-DCAF8_000106</a>",chr1:160206925|160231148,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=DCAF8"" target=""_blank"">DCAF8</a>",radioresistant esophageal cancer cells,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=27465405"" target=""_blank"">27465405</a>",N/A
human,circRNA_100984/hsa_circ_0002019/hsa_circRNA_100984/,"<a href=""./circ_detail.php?ID=hsa-FOXRED1_000001"">hsa-FOXRED1_000001</a>",chr11:126142864|126143349,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXRED1"" target=""_blank"">FOXRED1</a>",Esophageal cancer,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=27465405"" target=""_blank"">27465405</a>","FOXO3,p53,miR-139-3p,miR-376a*,miR-1200"
human,circRNA_101308,"<a href=""./circ_detail.php?ID=hsa-TMCO3_000006"">hsa-TMCO3_000006</a>",chr13:114164553|114193822,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=TMCO3"" target=""_blank"">TMCO3</a>",Gastric cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28206972"" target=""_blank"">28206972</a>",N/A
human,circRNA_101873/hsa_circRNA_101873,"<a href=""./circ_detail.php?ID=hsa-GLG1_000011"">hsa-GLG1_000011</a>",chr16:74491772|74493687,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=GLG1"" target=""_blank"">GLG1</a>",Rheumatoid arthritis,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=27097056"" target=""_blank"">27097056</a>","miR-637,miR-762,miR-301a-5p,miR-518c-5p,miR-384"
human,circRNA_101877/hsa_circ_0004519,"<a href=""./circ_detail.php?ID=hsa-RFWD3_000006"">hsa-RFWD3_000006</a>",chr16:74670244|74671868,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=RFWD3"" target=""_blank"">RFWD3</a>",Esophageal cancer,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28618429"" target=""_blank"">28618429</a>","miR-222*,miR-214"
human,circRNA_102231,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Lung cancer,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29602132"" target=""_blank"">29602132</a>",N/A
human,circRNA_102913/hsa_circ_0058058,"<a href=""./circ_detail.php?ID=hsa-ATIC_000019"">hsa-ATIC_000019</a>",chr2:216177220|216190861,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATIC"" target=""_blank"">ATIC</a>",Esophageal cancer,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=27465405"" target=""_blank"">27465405</a>",miR-222*
human,circRNA_103047,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr20:34389412|34459751,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=PHF20"" target=""_blank"">PHF20</a>",Rheumatoid arthritis,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28618429"" target=""_blank"">28618429</a>",N/A
human,circRNA_103781,"<a href=""./circ_detail.php?ID=hsa-TRAPPC11_000038"">hsa-TRAPPC11_000038</a>",chr4:184612469|184615876,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC11"" target=""_blank"">TRAPPC11</a>",Gastric cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28206972"" target=""_blank"">28206972</a>",N/A
human,circRNA_103999,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Gastric cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28206972"" target=""_blank"">28206972</a>",N/A
human,circRNA_104423,"<a href=""./circ_detail.php?ID=hsa-CDK14_000003"">hsa-CDK14_000003</a>",chr7:90355881|90356126,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK14"" target=""_blank"">CDK14</a>",Gastric cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28206972"" target=""_blank"">28206972</a>",N/A
human,circRNA_104871/hsa_circ_104871,"<a href=""./circ_detail.php?ID=hsa-SUSD1_000005"">hsa-SUSD1_000005</a>",chr9:114840817|114842445,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=SUSD1"" target=""_blank"">SUSD1</a>",Rheumatoid arthritis,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28618429"" target=""_blank"">28618429</a>",N/A
human,circRNA_104916,"<a href=""./circ_detail.php?ID=hsa-NEK6_000001"">hsa-NEK6_000001</a>",chr9:127064215|127089724,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK6"" target=""_blank"">NEK6</a>",Gastric cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28206972"" target=""_blank"">28206972</a>",N/A
human,circRNA_104983/hsa_circ_0089974,"<a href=""./circ_detail.php?ID=hsa-NHS_000001"">hsa-NHS_000001</a>",chrX:17705862|17710588,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=NHS"" target=""_blank"">NHS</a>",Esophageal cancer,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=27465405"" target=""_blank"">27465405</a>","miR-873-5p,miR-23b-5p,miR-181a-2-3p,miR-93-3p,miR-299-3p"
human,circRNA_127,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Breast cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26472973"" target=""_blank"">26472973</a>",N/A
human,circRNA_13478,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr1:10943876|110950546,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Pulmonary tuberculosis,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29371930"" target=""_blank"">29371930</a>",N/A
human,circRNA_13478,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Pulmonary tuberculosis,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29371930"" target=""_blank"">29371930</a>",N/A
human,circRNA_14623/hsa_circRNA_14623,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr19:30547942|30549514,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Pulmonary tuberculosis,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29371930"" target=""_blank"">29371930</a>","miR-765,miR-30b-3p,miR-876-3p,miR-26b-3p,miR-196b-5p"
human,circRNA_15703/hsa_circ_0015703,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr1:186287578|186324690,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Breast cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26472973"" target=""_blank"">26472973</a>",N/A
human,circRNA_3385,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Breast cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26472973"" target=""_blank"">26472973</a>",N/A
human,circRNA_36159,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr15:72180344|72286926,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Breast cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26472973"" target=""_blank"">26472973</a>",N/A
human,circRNA_388,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Breast cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26472973"" target=""_blank"">26472973</a>",N/A
human,circRNA_400033,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Gastric cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28206972"" target=""_blank"">28206972</a>",N/A
human,circRNA_4815,"<a href=""./circ_detail.php?ID=hsa-PPHLN1_000033"">hsa-PPHLN1_000033</a>",chr12:42745687|42792796,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=PPHLN1"" target=""_blank"">PPHLN1</a>",Breast cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26472973"" target=""_blank"">26472973</a>",N/A
human,circRNA_537,"<a href=""./circ_detail.php?ID=hsa-ERO1L_000014"">hsa-ERO1L_000014</a>",chr14:53145152|53150625,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=ERO1L"" target=""_blank"">ERO1L</a>",Breast cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26472973"" target=""_blank"">26472973</a>",N/A
human,circRNA_555,"<a href=""./circ_detail.php?ID=hsa-YLPM1_000035"">hsa-YLPM1_000035</a>",chr14:75247108|75269379,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=YLPM1"" target=""_blank"">YLPM1</a>",Breast cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26472973"" target=""_blank"">26472973</a>",N/A
human,circRNA_659,"<a href=""./circ_detail.php?ID=hsa-MCTP2_000001"">hsa-MCTP2_000001</a>",chr15:94899366|94913409,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=MCTP2"" target=""_blank"">MCTP2</a>",Breast cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26472973"" target=""_blank"">26472973</a>",N/A
human,circRNA_7070,"<a href=""./circ_detail.php?ID=hsa-RTTN_000006"">hsa-RTTN_000006</a>",chr18:67753849|67795782,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=RTTN"" target=""_blank"">RTTN</a>",Breast cancer,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26472973"" target=""_blank"">26472973</a>",N/A
human,circRNA_CDR1as,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDR1as"" target=""_blank"">CDR1as</a>",Cholangiocarcinoma,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=N/A"" target=""_blank"">N/A</a>",N/A
human,CircRNA-0001855,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF38"" target=""_blank"">RNF38</a>",Pre-eclampsia (PE),N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29758559"" target=""_blank"">29758559</a>","miR-506-3p,miR-605-3p,miR-124-3p,miR-1224-5p,miR-450a-2-3p"
human,circRNA-000284/hsa_circ_0000284,"<a href=""./circ_detail.php?ID=hsa-HIPK3_000017"">hsa-HIPK3_000017</a>",chr11:33307958|33309057,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=HIPK3"" target=""_blank"">HIPK3</a>",Cervical cancer,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29511454"" target=""_blank"">29511454</a>",N/A
human,circRNA0003906,"<a href=""./circ_detail.php?ID=hsa-ZNRD1-AS1_000002"">hsa-ZNRD1-AS1_000002</a>",chr6:29989443|30003760,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNRD1-AS1"" target=""_blank"">ZNRD1-AS1</a>",Colorectal cancer,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29123417"" target=""_blank"">29123417</a>",N/A
human,CircRNA-0004904,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=POLE2"" target=""_blank"">POLE2</a>",Pre-eclampsia (PE),N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28282919"" target=""_blank"">28282919</a>",N/A
human,circRNA-000911/hsa_circ_0000911/hsa_circ_000268,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr19:17448965|17449496,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=GTPBP3"" target=""_blank"">GTPBP3</a>",Breast cancer,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29431182"" target=""_blank"">29431182</a>",N/A
human,circRNA-001175/hsa_circ_0001175,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr20:61826924|61827836,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Breast cancer,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29431182"" target=""_blank"">29431182</a>",N/A
human,circRNA-001283,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Breast cancer,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29431182"" target=""_blank"">29431182</a>",N/A
human,circRNA-001489,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=Rnf2"" target=""_blank"">Rnf2</a>",polarized macrophages,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28075448"" target=""_blank"">28075448</a>",N/A
human,circRNA-003780,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=Cdyl"" target=""_blank"">Cdyl</a>",polarized macrophages,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28075448"" target=""_blank"">28075448</a>","miR-7220-3p,miR-133c,miR-7657-3p,miR-873a-5p,miR-6905-5p"
human,circRNA0047905/hsa_circ_0047905,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr18:61156579|61172318,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINB5"" target=""_blank"">SERPINB5</a>",Gastric cancer,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28980874"" target=""_blank"">28980874</a>",N/A
human,circRNA-010231,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=Fut8"" target=""_blank"">Fut8</a>",polarized macrophages,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28075448"" target=""_blank"">28075448</a>",N/A
human,circRNA0138960/has-circRNA7690-15,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr18,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=GDA"" target=""_blank"">GDA</a>",Gastric cancer,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28980874"" target=""_blank"">28980874</a>",N/A
human,circRNA-018127,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=Ipo11"" target=""_blank"">Ipo11</a>",polarized macrophages,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28075448"" target=""_blank"">28075448</a>",N/A
